colony,treatment,timepoint,oocyte,proportion,proportion_inactive,n
EMB2,90workers,day 0,0.667,0,0.416666667,12
EMB3,90workers,day 0,0.761,0,0.666666667,3
EMB4,90workers,day 0,1.453,0.4,0.3,10
EMB5,30workers,day 0,,,,0
EMB6,90workers,day 0,0.365,0,0.7,10
EMB7,30workers,day 0,0.9,0.2,0.5,10
EMB8,90workers,day 0,0.653,0.1,0.6,10
EMB9,30workers,day 0,0.665,0.1,0.6,10
EMB10,90workers,day 0,0.475,0,0.8,10
EMB11,90workers,day 0,,,,0
EMB12,30workers,day 0,0.915,0,0.4,10
EMB13,30workers,day 0,0.443,0,0.8,10
EMB14,30workers,day 0,1.002,0.333,0.5,9
EMB15,30workers,day 0,0.312,0,0.9,11
EMB16,30workers,day 0,,,,0
EMB2,90workers,day 11/14,1.237,0.222,0.333,9
EMB3,90workers,day 11/14,,,,0
EMB4,90workers,day 11/14,1.045,0.1,0.3,10
EMB5,30workers,day 11/14,0.318,0,0.9,10
EMB6,90workers,day 11/14,,,,0
EMB7,30workers,day 11/14,0.827,0.1,0.7,10
EMB8,90workers,day 11/14,0.765,0.2,0.6,10
EMB9,30workers,day 11/14,0.562,0.1,0.8,10
EMB10,90workers,day 11/14,1.173,0.25,0.375,8
EMB11,90workers,day 11/14,0.483,,,1
EMB12,30workers,day 11/14,0.245,0,0.9,10
EMB13,30workers,day 11/14,0.803,0.1,0.6,10
EMB14,30workers,day 11/14,1.222,0.3,0.4,10
EMB15,30workers,day 11/14,0.432,0,0.7,10
EMB16,30workers,day 11/14,1.048,0.1,0.4,10
EMB2,90workers,day 29/32,0.709,0,0.454545455,11
EMB3,90workers,day 29/32,1.701,0.5,,4
EMB4,90workers,day 29/32,0.522,0.1,0.9,10
EMB5,30workers,day 29/32,0.247,0,0.9,10
EMB6,90workers,day 29/32,0.79,0.1,0.4,10
EMB7,30workers,day 29/32,0.237,0,1,10
EMB8,90workers,day 29/32,0.285,0,0.9,10
EMB9,30workers,day 29/32,1.654,0.4,0.2,10
EMB10,90workers,day 29/32,0.643,0.1,0.8,10
EMB11,90workers,day 29/32,0.933,0.2,0.6,10
EMB12,30workers,day 29/32,0.46,0.1,0.8,10
EMB13,30workers,day 29/32,0.233,0,0.9,10
EMB14,30workers,day 29/32,0.502,0,0.6,10
EMB15,30workers,day 29/32,0.605,0.1,0.6,10
EMB16,30workers,day 29/32,0.198,0,1,10
EMB2,90workers,day 44/47,1.002380952,0.167,0.454545455,12
EMB3,90workers,day 44/47,,,,0
EMB4,90workers,day 44/47,0.775,0.2,0.7,10
EMB5,30workers,day 44/47,0.354166667,0,0.6,5
EMB6,90workers,day 44/47,1.045,0.2,0.4,10
EMB7,30workers,day 44/47,0.27037037,0,0.8,10
EMB8,90workers,day 44/47,0.677083333,0.1,0.7,10
EMB9,30workers,day 44/47,0.651666667,0.1,0.7,10
EMB10,90workers,day 44/47,0.968333333,0.3,0.6,10
EMB11,90workers,day 44/47,0.776666667,0.2,0.5,10
EMB12,30workers,day 44/47,0.403333333,0,0.7,10
EMB13,30workers,day 44/47,0.255,0,0.9,10
EMB14,30workers,day 44/47,0.341666667,0,0.7,10
EMB15,30workers,day 44/47,0.813333333,0.3,0.7,10
EMB16,30workers,day 44/47,0.743939394,0.091,0.6,11
EMB2,90workers,day 54,0.545,0.0769,0.615384615,13
EMB3,90workers,day 54,0.98,0.2,0.4,10
EMB4,90workers,day 54,1.457,0.4,0.4,10
EMB5,30workers,day 54,0.215,0,0.9,10
EMB6,90workers,day 54,0.458,0.1,0.8,10
EMB7,30workers,day 54,0.747,0.1,0.7,10
EMB8,90workers,day 54,0.232,0,0.9,10
EMB9,30workers,day 54,0.825,0.1,0.2,10
EMB10,90workers,day 54,0.9083,0.2,0.4,10
EMB11,90workers,day 54,0.637,0.0769,0.615384615,13
EMB12,30workers,day 54,0.183,0,1,10
EMB13,30workers,day 54,0.275,0,1,10
EMB14,30workers,day 54,0.342,0,0.8,10
EMB15,30workers,day 54,0.633,0.1,0.8,10
EMB16,30workers,day 54,1.073,0.3,0.5,10